0.005,68.5
0.01,35.4
0.015,31.7
0.02,29.0
0.025,35.0
0.03,31.5
0.035,30.1
0.04,35.2
0.045,39.4
0.05,27.5
0.055,41.9
0.06,51.6
0.065,29.7
0.07,25.6
0.075,25.3
0.08,26.9
0.085,28.1
0.09,31.3
0.095,35.0
0.1,31.2
0.105,27.6
0.11,41.9
0.115,51.1
0.12,30.4
0.125,27.7
0.13,23.5
0.135,25.5
0.14,29.0
0.145,29.2
0.15,26.2
0.155,22.3
0.16,27.9
0.165,43.3
0.17,50.4
0.175,28.6
0.18,27.3
0.185,25.7
0.19,24.5
0.195,24.9
0.2,21.6
0.205,21.1
0.21,21.9
0.215,28.0
0.22,43.2
0.225,52.5
0.23,30.4
0.235,26.2
0.24,25.7
0.245,24.0
0.25,21.8
0.255,21.3
0.26,21.5
0.265,21.4
0.27,27.4
0.275,43.5
0.28,74.7
0.285,57.1
0.29,59.5
0.295,57.2
0.3,57.4
0.305,58.8
0.31,62.8
0.315,76.7
0.32,84.8
0.325,58.5
0.33,90.5
0.335,62.4
0.34,52.6
0.345,50.0
0.35,49.1
0.355,50.5
0.36,58.8
0.365,69.4
0.37,57.4
0.375,66.4
0.38,56.7
0.385,90.3
0.39,66.2
0.395,53.2
0.4,52.1
0.405,52.8
0.41,109.8
0.415,114.1
0.42,113.3
0.425,120.9
0.43,86.9
0.435,125.8
0.44,204.6
0.445,132.2
0.45,116.1
0.455,107.1
0.46,97.3
0.465,101.5
0.47,108.2
0.475,106.1
0.48,84.0
0.485,88.1
0.49,130.1
0.495,199.7
0.5,128.3
0.505,106.7
0.51,105.1
0.515,108.9
0.52,95.6
0.525,79.5
0.53,83.5
0.535,75.7
0.54,88.8
0.545,126.7
0.55,204.7
0.555,261.1
0.56,235.5
0.565,227.1
0.57,223.3
0.575,215.2
0.58,234.4
0.585,266.4
0.59,299.1
0.595,371.8
0.6,262.1
0.605,445.0
0.61,251.4
0.615,211.8
0.62,206.2
0.625,200.8
0.63,203.1
0.635,243.0
0.64,291.3
0.645,323.2
0.65,273.7
0.655,263.4
0.66,437.9
0.665,241.6
0.67,205.7
0.675,189.5
0.68,207.7
0.685,208.3
0.69,248.6
0.695,280.4
0.7,242.9
0.705,179.3
0.71,268.7
0.715,448.6
0.72,233.0
0.725,205.9
0.73,205.9
0.735,199.4
0.74,220.0
0.745,223.7
0.75,193.8
0.755,170.1
0.76,180.6
0.765,261.9
0.77,433.4
0.775,231.0
0.78,205.2
0.785,191.5
0.79,196.6
0.795,190.3
0.8,174.4
0.805,160.0
0.81,168.3
0.815,182.4
0.82,263.2
0.825,435.8
0.83,479.6
0.835,457.8
0.84,448.8
0.845,463.5
0.85,219.8
0.855,226.3
0.86,278.0
0.865,300.1
0.87,342.9
0.875,255.9
0.88,395.0
0.885,203.8
0.89,189.6
0.895,188.3
0.9,191.4
0.905,211.1
0.91,223.9
0.915,247.6
0.92,326.5
0.925,268.5
0.93,248.8
0.935,397.0
0.94,216.3
0.945,184.9
0.95,177.3
0.955,193.1
0.96,198.2
0.965,233.2
0.97,249.2
0.975,238.5
0.98,188.5
0.985,250.7
0.99,390.4
0.995,190.6
1.0,189.7
1.005,169.1
1.01,175.9
1.015,221.8
1.02,222.0
1.025,194.4
1.03,157.4
1.035,181.8
1.04,247.5
1.045,395.7
1.05,177.1
1.055,180.8
1.06,168.1
1.065,173.9
1.07,191.8
1.075,165.5
1.08,153.9
1.085,176.9
1.09,191.3
1.095,250.2
1.1,394.3
